INTERVENTION 1:	Intervention	0
Manual Lymph Drainage	Intervention	1
lymph	UBERON:0002391	7-12
Manual lymph drainage (MLD) treatment 3 times a week for 4 weeks to the lymphedematous upper limb	Intervention	2
lymph	UBERON:0002391	7-12
lymph	UBERON:0002391	72-77
week	UO:0000034	48-52
week	UO:0000034	59-63
limb	UBERON:0002101	93-97
Manual Lymph Drainage (MLD): MLD is a practitioner-applied manual massage technique designed to decrease limb volume in patients with lymphedema by enhancing movement of lymph fluid, resulting in reductions in interstitial fluid.	Intervention	3
lymph	UBERON:0002391	7-12
lymph	UBERON:0002391	134-139
lymph	UBERON:0002391	170-175
limb	UBERON:0002101	105-109
volume	PATO:0000918	110-116
lymphedema	HP:0001004,DOID:4977	134-144
interstitial fluid	UBERON:0000913	210-228
INTERVENTION 2:	Intervention	4
Negative Pressure	Intervention	5
PhysioTouch (negative pressure massage) treatment 3 times a week for 4 weeks to the lymphedematous upper limb	Intervention	6
week	UO:0000034	60-64
week	UO:0000034	71-75
limb	UBERON:0002101	105-109
PhysioTouch: The PhysioTouch is a hand-held device that administers negative pressure under the treatment head, and gently pulls the underlying skin and subcutaneous tissue into the suction cup. This suction produces a stretch to the skin and in the subcutaneous tissue space. This action is thought to facilitate lymphatic flow from the interstitium into the lymphatic vessels, and mobilizes the superficial fascia.	Intervention	7
head	UBERON:0000033	106-110
tissue	UBERON:0000479	166-172
tissue	UBERON:0000479	263-269
INCLUSION CRITERIA:	Eligibility	0
To be included women must be:	Eligibility	1
Be over 18 years of age;	Eligibility	2
age	PATO:0000011	20-23
Have had cancer treatment that included a surgical procedure, radiation therapy (RT), and/or chemotherapy (CTX);	Eligibility	3
cancer	DOID:162	9-15
Have completed active cancer treatment at least 1 year prior to study enrollment;	Eligibility	4
active	PATO:0002354	15-21
cancer	DOID:162	22-28
year	UO:0000036	50-54
Have been diagnosed with lymphedema (LE) at least one year prior to study enrollment;	Eligibility	5
lymphedema	HP:0001004,DOID:4977	25-35
year	UO:0000036	54-58
Have arm lymphedema on one side only;	Eligibility	6
lymphedema	HP:0001004,DOID:4977	9-19
Have confirmed LE based on bioimpedance measurements with an L-Dex® score of >7.1 (note - this is very mild lymphedema);	Eligibility	7
bioimpedance	CMO:0000126	27-39
mild	HP:0012825	103-107
lymphedema	HP:0001004,DOID:4977	108-118
Have stable arm LE. LE will be considered "stable" if during the 3 months prior to study enrollment there was no arm infection requiring antibiotics, no change in ability to perform activities of daily living related to LE, and no subjective report of significant persistent changes in limb volume;	Eligibility	8
stable	HP:0031915	5-11
stable	HP:0031915	43-49
limb	UBERON:0002101	286-290
volume	PATO:0000918	291-297
Be mentally and physically able to participate in the study;	Eligibility	9
