INTERVENTION 1:	Intervention	0
Carboplatin, ABI-007 and Bevacizumab	Intervention	1
carboplatin	CHEBI:31355	0-11
Participants received combination carboplatin, ABI-007 (i.e., a nanoparticle albumin-bound paclitaxel also called Abraxane), and bevacizumab (Avastin). Bevacizumab was administered as 15 mg/kg on days 1, 22, and 43 for patients without hematologic toxicity. For those with hematologic toxicity, bevacizumab was administered as 10mg/kg on day 1 and 15. Similarly, for patients without hematologic toxicity, a standard carboplatin dose according to the participant's area under the plasma drug concentration-time curve (AUC-6) was administered on days 1, 22, and 43. For patients with a hematologic toxicity, carboplatin was only given on day 1. Finally, for those without hematologic toxicity, ABI-007 (Abraxane) 100mg/m2 was administered on days 1,8, 15, 22, 29, 36,43,and 50. Conversely, for patients with hematologic toxicity, Abraxane was administered as 100mg/m2 only on days 1, 8, and 15.	Intervention	2
carboplatin	CHEBI:31355	34-45
carboplatin	CHEBI:31355	417-428
carboplatin	CHEBI:31355	607-618
nanoparticle	CHEBI:50803	64-76
paclitaxel	CHEBI:45863	91-101
day	UO:0000033	196-199
day	UO:0000033	338-341
day	UO:0000033	545-548
day	UO:0000033	637-640
day	UO:0000033	741-744
day	UO:0000033	875-878
area	PATO:0001323	465-469
drug	CHEBI:23888	487-491
DISEASE CHARACTERISTICS:	Eligibility	0
disease	DOID:4,OGMS:0000031	0-7
Histologically or cytologically confirmed primary adenocarcinoma of the breast	Eligibility	1
adenocarcinoma	DOID:299	50-64
breast	UBERON:0000310	72-78
Locally recurrent or metastatic disease	Eligibility	2
recurrent	HP:0031796	8-17
disease	DOID:4,OGMS:0000031	32-39
Must have HER-2-negative breast cancer or, if HER-2-positive, must be unable to receive trastuzumab (Herceptin®) or have previously received trastuzumab in the past	Eligibility	3
breast cancer	DOID:1612	25-38
Measurable disease, defined as at least one lesion that can be accurately measured in at least one dimension (longest diameter to be recorded) as > 20 mm by conventional techniques or as > 10 mm by spiral CT scan.	Eligibility	4
disease	DOID:4,OGMS:0000031	11-18
diameter	PATO:0001334	118-126
ct	BAO:0002125	205-207
No known CNS disease	Eligibility	5
disease	DOID:4,OGMS:0000031	13-20
Hormone receptor status not specified	Eligibility	6
hormone	CHEBI:24621	0-7
receptor	BAO:0000281	8-16
PATIENT CHARACTERISTICS:	Eligibility	7
patient	HADO:0000008,OAE:0001817	0-7
Inclusion criteria:	Eligibility	8
Postmenopausal status not specified	Eligibility	9
ECOG performance status (PS) 0-1 OR Karnofsky PS 70-100%	Eligibility	10
Life expectancy > 12 weeks	Eligibility	11
WBC  3,000/mcL	Eligibility	12
Absolute neutrophil count  1,500/mcL	Eligibility	13
Platelet count  100,000/mcL	Eligibility	14
platelet count	CMO:0000029	0-14
