INTERVENTION 1:	Intervention	0
Intervention	Intervention	1
Validated, web-based risk assessment is being used to assess personalized risk and generate a risk report	Intervention	2
risk assessment survey; decision support for providers for prevention based on risk	Intervention	3
INTERVENTION 2:	Intervention	4
Control	Intervention	5
Usual care	Intervention	6
Inclusion Criteria:	Eligibility	0
Adults 18 - 75 Years old	Eligibility	1
English or Spanish speaking	Eligibility	2
Recent visit to a participating primary care practice	Eligibility	3
Exclusion Criteria	Eligibility	4
No phone number or email address listed in the EHR	Eligibility	5
Outcome Measurement:	Results	0
Number of Subjects Who Discussed Disease Risk With Primary Care Provider	Results	1
disease	DOID:4,OGMS:0000031	33-40
[Not Specified]	Results	2
Time frame: 3 months following primary care visit	Results	3
time	PATO:0000165	0-4
Results 1:	Results	4
Arm/Group Title: Intervention	Results	5
Arm/Group Description: Validated, web-based risk assessment is being used to assess personalized risk and generate a risk report	Results	6
risk assessment survey; decision support for providers for prevention based on risk	Results	7
Overall Number of Participants Analyzed: 1673	Results	8
Measure Type: Count of Participants	Results	9
Unit of Measure: Participants  905  54.1%	Results	10
Results 2:	Results	11
Arm/Group Title: Control	Results	12
Arm/Group Description: Usual care	Results	13
Overall Number of Participants Analyzed: 1847	Results	14
Measure Type: Count of Participants	Results	15
Unit of Measure: Participants  841  45.5%	Results	16
Adverse Events 1:	Adverse Events	0
Total: 0/1699 (0.00%)	Adverse Events	1
Adverse Events 2:	Adverse Events	2
Total: 0/2004 (0.00%)	Adverse Events	3
