INTERVENTION 1:	Intervention	0
LBH589 With Capecitabine	Intervention	1
capecitabine	CHEBI:31348	12-24
MTD, LBH589 with Capecitabine	Intervention	2
mtd	BAO:0001248	0-3
capecitabine	CHEBI:31348	17-29
LBH589: LBH589 will be evaluated when administered twice weekly at the following possible dose levels: 20 mg, 30 mg, 45 mg, and 60 mg. Capecitabine will be paired with LBH589 and will range in dose from 825 mg/m2 to 1250 mg/m2 orally BID 14 of every 21 days. Treatment cycles will be 21 days in length. Once determined safe, 10 additional patients will be treated at the determined MTD to further assess safety.	Intervention	3
capecitabine	CHEBI:31348	135-147
range	LABO:0000114	184-189
length	PATO:0000122	295-301
mtd	BAO:0001248	382-385
Capecitabine: Capecitabine will be administered orally twice daily for 14 days out of every 21 days.	Intervention	4
capecitabine	CHEBI:31348	0-12
capecitabine	CHEBI:31348	14-26
INTERVENTION 2:	Intervention	5
LBH589 and Lapatinib	Intervention	6
lapatinib	CHEBI:49603	11-20
LBH589 and Lapatinib	Intervention	7
lapatinib	CHEBI:49603	11-20
LBH589: LBH589 will be evaluated when administered twice weekly at the following possible dose levels: 20 mg, 30 mg, 45 mg, and 60 mg. Capecitabine will be paired with LBH589 and will range in dose from 825 mg/m2 to 1250 mg/m2 orally BID 14 of every 21 days. Treatment cycles will be 21 days in length. Once determined safe, 10 additional patients will be treated at the determined MTD to further assess safety.	Intervention	8
capecitabine	CHEBI:31348	135-147
range	LABO:0000114	184-189
length	PATO:0000122	295-301
mtd	BAO:0001248	382-385
Lapatinib: Lapatinib, 1000 mg PO daily will be added to this combination.	Intervention	9
lapatinib	CHEBI:49603	0-9
lapatinib	CHEBI:49603	11-20
Inclusion Criteria:	Eligibility	0
Histologically documented metastatic or locally unresectable, incurable malignancy for which capecitabine is clinically appropriate.	Eligibility	1
capecitabine	CHEBI:31348	93-105
Male or female patients aged  18 years old.	Eligibility	2
male	CHEBI:30780,PATO:0000384	0-4
male	CHEBI:30780,PATO:0000384	10-14
female	PATO:0000383	8-14
Maximum of 3 prior regimens in a metastatic setting allowed and may include other targeted agents, immunotherapy and chemotherapy.	Eligibility	3
Measurable disease by Response Evaluation Criteria in Solid Tumors (RECIST) criteria.	Eligibility	4
disease	DOID:4,OGMS:0000031	11-18
Eastern Cooperative Oncology Group performance status (ECOG PS) 0 or 1.	Eligibility	5
group	CHEBI:24433	29-34
Baseline MUGA or ECHO must demonstrate LVEF > than the lower limits of the institutional normal.	Eligibility	6
Laboratory values as follows:	Eligibility	7
ANC > 1500/μL	Eligibility	8
Hgb > 9 g/dL	Eligibility	9
Platelets > 100,000/uL	Eligibility	10
Bilirubin < 1.5 mg/dL	Eligibility	11
AST/SGOT < 2.5 x ULN or < 5.0 x ULN and ALT/SGPT in patients with liver metastases	Eligibility	12
x	LABO:0000148	15-16
x	LABO:0000148	30-31
liver	UBERON:0002107	66-71
Creatinine < 1.5 mg/dL or calculated creatinine clearance > 50 ml/min	Eligibility	13
creatinine	CHEBI:16737	0-10
creatinine	CHEBI:16737	37-47
creatinine clearance	CMO:0000765	37-57
Albumin > 3 g/dL	Eligibility	14
Potassium > lower limit of normal (LLN)	Eligibility	15
Phosphorous > LLN	Eligibility	16
Calcium > LLN	Eligibility	17
calcium	CHEBI:22984,BAO:0000874	0-7
Magnesium > LLN	Eligibility	18
Women of childbearing potential must have a negative serum or urine pregnancy test performed within 7 days prior to start of treatment and must commit to begin two acceptable methods of birth control, one highly effective method of birth control and one additional effective method at the same time before starting treatment.	Eligibility	19
urine	UBERON:0001088	62-67
time	PATO:0000165	294-298
Life expectancy > 12 weeks.	Eligibility	20
Accessible for treatment and follow-up.	Eligibility	21
All patients must be able to understand the nature of the study and give written informed consent prior to study entry.	Eligibility	22
Additional Breast Cancer Patient Subset (Part 2 and Part 3) Inclusion Criteria:	Eligibility	23
breast cancer	DOID:1612	11-24
patient	HADO:0000008,OAE:0001817	25-32
Incurable carcinoma of the breast, with measurable locally recurrent or metastatic disease.	Eligibility	24
carcinoma	HP:0030731,DOID:305	10-19
breast	UBERON:0000310	27-33
recurrent	HP:0031796	59-68
disease	DOID:4,OGMS:0000031	83-90
ICH 3+ overexpression or FISH amplification documented by a local laboratory in primary or metastatic tumor tissue.	Eligibility	25
tissue	UBERON:0000479	108-114
Prior treatment with an anthracycline, taxane, and trastuzumab or not a candidate for such treatment. Patient may have received these drugs in combination or in sequence for the treatment of locally advanced or metastatic disease and/or adjuvant therapy.	Eligibility	26
anthracycline	CHEBI:48120	24-37
taxane	CHEBI:36064	39-45
patient	HADO:0000008,OAE:0001817	102-109
disease	DOID:4,OGMS:0000031	222-229
adjuvant	CHEBI:60809	237-245
Exclusion Criteria:	Eligibility	27
Prior treatment with an HDAC inhibitor or current treatment with valproic acid.	Eligibility	28
inhibitor	CHEBI:35222	29-38
valproic acid	CHEBI:39867	65-78
Previous treatment with capecitabine.	Eligibility	29
capecitabine	CHEBI:31348	24-36
Impaired cardiac function including any of the following:	Eligibility	30
function	BAO:0003117,BFO:0000034	17-25
Screening ECG with a QTc > 450 msec.	Eligibility	31
Congenital long QT syndrome.	Eligibility	32
long qt syndrome	DOID:2843	11-27
History of sustained ventricular tachycardia.	Eligibility	33
history	BFO:0000182	0-7
ventricular tachycardia	HP:0004756	21-44
Any history of ventricular fibrillation or torsades de pointes.	Eligibility	34
history	BFO:0000182	4-11
ventricular fibrillation	HP:0001663	15-39
Bradycardia defined as heart rate < 50 beats per minute. Patients with a pacemaker and heart rate > 50 beats per minute are eligible.	Eligibility	35
bradycardia	HP:0001662	0-11
heart rate	CMO:0000002	23-33
heart rate	CMO:0000002	87-97
minute	UO:0000031	49-55
minute	UO:0000031	113-119
Myocardial infarction or unstable angina within 6 months of study entry.	Eligibility	36
