INTERVENTION 1:	Intervention	0
Ipatasertib and Paclitaxel	Intervention	1
paclitaxel	CHEBI:45863	16-26
Participants randomised to receive paclitaxel 80 mg/m^2, intravenously on Days 1, 8, and 15 along with ipatasertib 400 mg, orally, once daily from Days 1-21 in each cycle of 28 days until disease progression, intolerable toxicity, elective withdrawal from the study, or study completion or termination.	Intervention	2
paclitaxel	CHEBI:45863	35-45
disease	DOID:4,OGMS:0000031	188-195
INTERVENTION 2:	Intervention	3
Placebo and Paclitaxel	Intervention	4
paclitaxel	CHEBI:45863	12-22
Participants randomised to receive paclitaxel 80 mg/m^2, intravenously on Days 1, 8, and 15 along with placebo matching ipatasertib, orally, once daily from Days 1-21 in each cycle of 28 days until disease progression, intolerable toxicity, elective withdrawal from the study, or study completion or termination.	Intervention	5
paclitaxel	CHEBI:45863	35-45
disease	DOID:4,OGMS:0000031	198-205
Inclusion Criteria:	Eligibility	0
Histologically documented triple-negative adenocarcinoma of the breast that is inoperable locally advanced or metastatic and is not amenable to resection with curative intent	Eligibility	1
adenocarcinoma	DOID:299	42-56
breast	UBERON:0000310	64-70
Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1	Eligibility	2
group	CHEBI:24433	29-34
Availability of a representative formalin-fixed, paraffin-embedded (FFPE) tumor specimen, required prior to randomization	Eligibility	3
Measurable disease, according to the RECIST v1.1	Eligibility	4
disease	DOID:4,OGMS:0000031	11-18
Adequate hematologic and organ function within 14 days before the first study treatment	Eligibility	5
organ	UBERON:0000062	25-30
function	BAO:0003117,BFO:0000034	31-39
For female participants of childbearing potential, agreement (by both participant and partner) to use an effective form of contraception for the duration of the study and for 6 months after last dose of study treatment	Eligibility	6
female	PATO:0000383	4-10
duration	PATO:0001309	145-153
Exclusion Criteria:	Eligibility	7
Any previous therapy, including chemotherapy or hormonal or targeted therapy, for inoperable locally advanced or metastatic triple-negative adenocarcinoma of the breast. Participants may have received prior neoadjuvant or adjuvant chemotherapy and/or radiation treatment for locally advanced triple negative adenocarcinoma, provided all treatments were completed greater than or equal to (>/=) 6 months prior to Cycle 1 Day 1. Locally recurrent disease must not be amenable to resection with curative intent	Eligibility	8
adenocarcinoma	DOID:299	140-154
adenocarcinoma	DOID:299	308-322
breast	UBERON:0000310	162-168
adjuvant	CHEBI:60809	210-218
adjuvant	CHEBI:60809	222-230
day	UO:0000033	420-423
recurrent	HP:0031796	435-444
disease	DOID:4,OGMS:0000031	445-452
Any radiation treatment to metastatic site within 28 days of Cycle 1, Day 1	Eligibility	9
site	BFO:0000029	38-42
day	UO:0000033	53-56
day	UO:0000033	70-73
Known Human Epidermal Growth Factor Receptor 2 (HER2) positive, erythrocyte receptor (ER) positive, or progesterone receptor (PR) positive breast cancer	Eligibility	10
growth factor	BAO:0002024	22-35
receptor	BAO:0000281	36-44
receptor	BAO:0000281	76-84
receptor	BAO:0000281	116-124
progesterone	CHEBI:17026	103-115
breast cancer	DOID:1612	139-152
Previous therapy with Akt, PI3K, and/or mTOR inhibitors	Eligibility	11
Major surgical procedure, open biopsy, or significant traumatic injury within 30 days prior to Cycle 1, Day 1 or anticipation of need for a major surgical procedure during the course of the study	Eligibility	12
day	UO:0000033	81-84
day	UO:0000033	104-107
Known presence of the brain or spinal cord metastasis, as determined by computed tomography (CT) or magnetic resonance imaging (MRI) evaluation during screening or prior radiographic assessments	Eligibility	13
brain	UBERON:0000955	22-27
spinal cord	UBERON:0002240	31-42
tomography	BAO:0002525	81-91
ct	BAO:0002125	93-95
Outcome Measurement:	Results	0
Progression Free Survival (PFS)	Results	1
PFS was defined as the time from randomization to the first occurrence of disease progression, as determined by investigator review of tumor assessments by RECIST, v1.1 or death on study (<=30 days after the last dose of study treatment regimen) from any cause, whichever occurred first.	Results	2
time	PATO:0000165	23-27
disease	DOID:4,OGMS:0000031	74-81
death	OAE:0000632	172-177
Time frame: Baseline up to 30 days after the last dose of study drug administration (Clinical Cut Off Date: 07 June 2016)	Results	3
time	PATO:0000165	0-4
drug administration	OAE:0000011	64-83
Results 1:	Results	4
Arm/Group Title: Ipatasertib and Paclitaxel	Results	5
paclitaxel	CHEBI:45863	33-43
Arm/Group Description: Participants randomised to receive paclitaxel 80 mg/m^2, intravenously on Days 1, 8, and 15 along with ipatasertib 400 mg, orally, once daily from Days 1-21 in each cycle of 28 days until disease progression, intolerable toxicity, elective withdrawal from the study, or study completion or termination.	Results	6
paclitaxel	CHEBI:45863	58-68
disease	DOID:4,OGMS:0000031	211-218
Overall Number of Participants Analyzed: 62	Results	7
Median (90% Confidence Interval)	Results	8
median	BAO:0002174	0-6
Unit of Measure: Months  6.18        (4.57 to 7.33)	Results	9
Results 2:	Results	10
Arm/Group Title: Placebo and Paclitaxel	Results	11
paclitaxel	CHEBI:45863	29-39
Arm/Group Description: Participants randomised to receive paclitaxel 80 mg/m^2, intravenously on Days 1, 8, and 15 along with placebo matching ipatasertib, orally, once daily from Days 1-21 in each cycle of 28 days until disease progression, intolerable toxicity, elective withdrawal from the study, or study completion or termination.	Results	12
paclitaxel	CHEBI:45863	58-68
disease	DOID:4,OGMS:0000031	221-228
Overall Number of Participants Analyzed: 62	Results	13
Median (90% Confidence Interval)	Results	14
median	BAO:0002174	0-6
Unit of Measure: Months  4.93        (3.58 to 5.36)	Results	15
Adverse Events 1:	Adverse Events	0
Total: 18/61 (29.51%)	Adverse Events	1
Pancytopenia 0/61 (0.00%)	Adverse Events	2
