INTERVENTION 1:	Intervention	0
Control Arm	Intervention	1
Mail	Intervention	2
Standard Reminder Postcard	Intervention	3
INTERVENTION 2:	Intervention	4
Family Physician Reminder Letter Arm	Intervention	5
Mail	Intervention	6
Standard Reminder Postcard	Intervention	7
Family Physician Reminder Letter	Intervention	8
Inclusion Criteria:	Eligibility	0
Active family physicians (family physicians, general practitioners or primary care physicians) who have overdue women in their practice that meet the following criteria:	Eligibility	1
active	PATO:0002354	0-6
Previously been enrolled in the SMPBC and had a previous normal screening mammogram.	Eligibility	2
Have agreed to being contacted for research on the SMPBC questionnaire	Eligibility	3
Are 6-24 months overdue from their last screening mammogram	Eligibility	4
Live in BC	Eligibility	5
Have listed an active family physician as the contact to receive their mammography results	Eligibility	6
active	PATO:0002354	15-21
Exclusion Criteria:	Eligibility	7
Family physicians who do not work in primary care	Eligibility	8
Family physicians who do not have overdue women in their practice	Eligibility	9
Outcome Measurement:	Results	0
Percentage of Overdue Women Returning for Screening Mammography	Results	1
Percentage of overdue women returning for screening mammography, measured from the date of randomization	Results	2
Time frame: 6 months	Results	3
time	PATO:0000165	0-4
Results 1:	Results	4
Arm/Group Title: Control Arm	Results	5
Arm/Group Description: Mail	Results	6
Standard Reminder Postcard	Results	7
Overall Number of Participants Analyzed: 2749	Results	8
Measure Type: Number	Results	9
Unit of Measure: percentage of participants  24.0	Results	10
Results 2:	Results	11
Arm/Group Title: Family Physician Reminder Letter Arm	Results	12
Arm/Group Description: Mail	Results	13
Standard Reminder Postcard	Results	14
Family Physician Reminder Letter	Results	15
Overall Number of Participants Analyzed: 2749	Results	16
Measure Type: Number	Results	17
Unit of Measure: percentage of participants  34.4	Results	18
Adverse Events 1:	Adverse Events	0
Total: 0/2749 (0.00%)	Adverse Events	1
Adverse Events 2:	Adverse Events	2
Total: 0/2749 (0.00%)	Adverse Events	3
